Headline,Summary,Category,Date Published,Link to Article
Midlife PSA tests may predict prostate cancer diagnosis up to 25 years later,"According to a 2007 Swedish study, a PSA test done between the ages of 44 and 50 may predict whether or not a man will develop prostate cancer later in life.",Cancer,"November 3, 2009",https://www.health.harvard.edu/blog/midlife-psa-tests-may-predict-prostate-cancer-diagnosis-up-to-25-years-later-20091103118
Initial PSA tests can’t distinguish lethal prostate cancers,"In a study of over 250 men, Swedish researchers found that neither the initial PSA level nor its rate of increase in a two-year period predicted which men had lethal versus indolent cancers. ",Cancer,"November 3, 2009",https://www.health.harvard.edu/blog/initial-psa-tests-cant-distinguish-lethal-prostate-cancers-20091103117
PSA screening: What doctors tell their patients,Fifteen Harvard-affiliated physicians discuss their recommendations for PSA screening.,Cancer,"November 3, 2009",https://www.health.harvard.edu/blog/psa-screening-what-doctors-tell-their-patients-20091103190
Task force says no to PSA screening for older men,The U.S. Preventive Services task force announced in 2008 that doctors should stop testing men who are 75 or older. The panel also concluded that the benefit of screening in younger men is uncertain.,Cancer,"November 3, 2009",https://www.health.harvard.edu/blog/task-force-says-no-to-psa-screening-for-older-men-20091103154
What does a fluctuating PSA mean?,"If your PSA has varied greatly and biopsies have been negative, you might want to try a different testing regimen.",Cancer,"November 3, 2009",https://www.health.harvard.edu/blog/what-does-a-fluctuating-psa-mean-20091103215
Can nerve grafts restore erectile function?,Studies have shown that some men who have their neurovascular bundles removed during a radical prostatectomy may regain erectile function with nerve grafts. But a patient’s best bet for preserving erectile function is to find an experienced surgeon.,Cancer,"November 3, 2009",https://www.health.harvard.edu/blog/can-nerve-grafts-restore-erectile-function-20091103213
Treating prostatitis: Any cause for optimism?,"Standard treatments for prostatitis, including antibiotics, anti-inflammatory medications, and alpha blockers, are often ineffective. Patients might find relief by using drugs currently in clinical trials or nontraditional therapies such as biofeedback and myofascial trigger release, a form of massage.",Men's Health,"November 3, 2009",https://www.health.harvard.edu/blog/treating-prostatitis-any-cause-for-optimism-20091103211
Prostate cancer risk in African Americans,"African American men have, by far, the highest incidence of prostate cancer in the world. They are also more than twice as likely to die of the disease as white American men. No single factor — diet, obesity, socioeconomic status, or biology — accounts for the disparity, and the search for an explanation continues.",Cancer,"November 3, 2009",https://www.health.harvard.edu/blog/prostate-cancer-risk-in-african-americans-20091103209
Blood calcium levels may be linked to prostate cancer death,Research finds that men with high blood calcium levels are more likely to develop fatal prostate cancer than men with lower blood calcium levels. ,Cancer,"October 23, 2009",https://www.health.harvard.edu/blog/blood-calcium-levels-may-be-linked-to-prostate-cancer-death-20091023208
Radical prostatectomy vs. watchful waiting, Results,Cancer,"October 23, 2009",https://www.health.harvard.edu/blog/radical-prostatectomy-vs-watchful-waiting-20091023207
Rapaflo approved for the treatment of BPH, Men,Harvard Prostate Knowledge,"October 23, 2009",https://www.health.harvard.edu/blog/rapaflo-approved-for-the-treatment-of-bph-20091023206
No “home run” for proton radiation–at least not yet,"A clinical trial of proton radiation for early prostate cancer found that the treatment is safe and well-tolerated by patients, but probably no better than other, less expensive forms of radiation. ",Cancer,"October 23, 2009",https://www.health.harvard.edu/blog/no-home-run-for-proton-radiation-at-least-not-yet-20091023205
Radiation therapy may up colon cancer risk, Men,Cancer,"October 23, 2009",https://www.health.harvard.edu/blog/radiation-therapy-may-up-colon-cancer-risk-2009102315135
What is the difference between PSA and free PSA?,"Kevin R. Loughlin, M.D., M.B.A., director of Urologic Research at Brigham and Women’s Hospital, explains how these tests differ.",Harvard Prostate Knowledge,"October 1, 2009",https://www.health.harvard.edu/blog/what-is-the-difference-between-psa-and-free-psa-20091001114
Diabetes inversely related to prostate cancer risk,"Two studies conclude that men with diabetes have a lower risk of prostate cancer than nondiabetics, suggesting a potential biological link between the conditions. ",Cancer,"September 29, 2009",https://www.health.harvard.edu/blog/diabetes-inversely-related-to-prostate-cancer-risk-20090929202
Second BPH drug reduces prostate cancer risk,"Like finasteride (Proscar), dutasteride (Avodart), a drug used to treat benign prostatic hyperplasia (BPH), may also reduce the risk of prostate cancer.",Cancer,"September 29, 2009",https://www.health.harvard.edu/blog/second-bph-drug-reduces-prostate-cancer-risk-20090929201
Safety concerns prompt labeling change on testosterone gels,Manufacturers of testosterone gel products must add a boxed warning on the products about adverse effects.,Men's Health,"September 29, 2009",https://www.health.harvard.edu/blog/safety-concerns-prompt-labeling-change-on-testosterone-gels-20090929200
Vitamin E-selenium-soy combo doesn’t prevent prostate cancer,Canadian researchers report in 2009 that these supplements offer no benefit in terms of prostate cancer prevention.,Cancer,"September 29, 2009",https://www.health.harvard.edu/blog/vitamin-e-selenium-soy-combo-doesnt-prevent-prostate-cancer-2009092914713
What is a “PSA bounce?”,"I had brachytherapy to treat my prostate cancer and my PSA had dropped to 0.3 ng/ml. But six months ago, my PSA had gone up to 0.5, and now it’s up to 0.8 ng/ml. I’m worried that the cancer is back; my doctor said it could be a “PSA bounce.” What’s that?",Cancer,"September 29, 2009",https://www.health.harvard.edu/blog/what-is-a-psa-bounce-20090929196
Does frequent ejaculation help ward off prostate cancer?, Studies,Cancer,"September 29, 2009",https://www.health.harvard.edu/blog/does-frequent-ejaculation-help-ward-off-prostate-cancer-20090929112
Can a vasectomy increase prostate cancer risk?,Experts conclude that there is no association between vasectomy and prostate cancer risk.,Men's Health,"September 29, 2009",https://www.health.harvard.edu/blog/can-a-vasectomy-increase-prostate-cancer-risk-20090929182
What’s the downside to a biopsy?,"Even if my father takes antibiotics beforehand, could he develop a serious infection when he has a prostate biopsy later this year? Are there other possible complications we should be on the lookout for?",Cancer,"September 29, 2009",https://www.health.harvard.edu/blog/whats-the-downside-to-a-biopsy-20090929174
How soon can I bike after a biopsy?,"I am an avid bicyclist, and I am having a prostate biopsy in a few weeks. How long do I need to wait after the biopsy before I can start biking again?",Cancer,"September 29, 2009",https://www.health.harvard.edu/blog/how-soon-can-i-bike-after-a-biopsy-20090929108
What if I have prostate cancer and lymphoma?,"There’s no one correct course of action. In general, experts recommend first treating whichever condition is worse.",Cancer,"September 29, 2009",https://www.health.harvard.edu/blog/what-if-i-have-prostate-cancer-and-lymphoma-20090929115
Am I too old to have prostate surgery?,"A radical prostatectomy is a major operation that can lead to serious complications. If a man is older than 75, his doctor may not want to operate on him.",Cancer,"September 29, 2009",https://www.health.harvard.edu/blog/am-i-too-old-to-have-prostate-surgery-20090929195
Do I need to use condoms after prostate surgery?,"Yes. Even if a man doesn’t ejaculate, sexually transmitted diseases (STDs) can still be passed from one partner to another during sexual activity.",Cancer,"September 29, 2009",https://www.health.harvard.edu/blog/do-i-need-to-use-condoms-after-prostate-surgery-20090929173
Experimental therapies for prostate cancer,"Androgen deprivation, whether through surgical removal of the testicles or with medication, is an effective treatment for recurring prostate cancer — at least for a while. An improved understanding of the biology of prostate cancer has led to the development of two drugs that might slow disease progression in prostate cancer patients whose disease no longer responds to androgen deprivation.",Harvard Prostate Knowledge,"September 29, 2009",https://www.health.harvard.edu/blog/experimental-therapies-for-prostate-cancer-20090929194
Stress and benign prostatic hyperplasia (BPH),Some evidence suggests that stress reduction may ease symptoms of an enlarged prostate.,Men's Health,"September 29, 2009",https://www.health.harvard.edu/blog/stress-and-benign-prostatic-hyperplasia-bph-20090929192
Can radiation therapy combat a rising PSA after surgery?,"I had a radical prostatectomy a year ago and thought I was cured. But now my PSA is rising rapidly, a sign that the cancer is back. Might radiation therapy help?",Cancer,"September 29, 2009",https://www.health.harvard.edu/blog/can-radiation-therapy-combat-a-rising-psa-after-surgery-20090929109
Can hormone therapy cause muscle loss?,I am currently undergoing hormone therapy with leuprolide (Lupron) injections to shrink an enlarged prostate. I believe I’ve noticed some muscle loss. Is this possible?,Cancer,"September 29, 2009",https://www.health.harvard.edu/blog/can-hormone-therapy-cause-muscle-loss-20090929106
Botox for BPH?,"It may sound like a promising approach, but there’s a lot we don’t know about using Botox to treat an enlarged prostate.",Men's Health,"September 29, 2009",https://www.health.harvard.edu/blog/botox-for-bph-20090929105
Pomegranate juice may slow prostate cancer progression,"Drinking 8 ounces of pomegranate juice a day may slow disease progression, as measured by PSA.",Cancer,"September 29, 2009",https://www.health.harvard.edu/blog/pomegranate-juice-may-slow-prostate-cancer-progression-20090929203
Avoiding complications of anti-androgens: A patient’s story,"Sixty-five-year-old George Lincoln* never suspected that anything was wrong. Aside from some of the typical side effects of hormone therapy for his prostate cancer, such as fatigue, occasional hot flashes, mild weight gain, and a loss of libido, he felt okay. He didn’t have abdominal pain, nausea, jaundice, or any other symptoms that might indicate a potentially life-threatening problem.",Cancer,"June 19, 2009",https://www.health.harvard.edu/blog/avoiding-complications-of-anti-androgens-a-patients-story-2-20090619184
When to test for prostate cancer: Finding a balance,"A conversation with Fritz H. Schroder, M.D., the principal investigator of the European Randomized Study of Screening for Prostate Cancer",Cancer,"June 19, 2009",https://www.health.harvard.edu/blog/when-to-test-for-prostate-cancer-finding-a-balance-20090619176
Testosterone supplementation after prostate cancer?,"As men age, their testosterone production begins to slow. As men get into their 50s, 60s, and beyond, they may start to have signs and symptoms of low testosterone including reduced sex drive and sense of vitality, erectile dysfunction, decreased energy, lower muscle mass and bone density, and anemia. In some cases, supplemental testosterone may help. However, doctors disagree over the wisdom of prescribing testosterone to prostate cancer survivors.",Cancer,"June 19, 2009",https://www.health.harvard.edu/blog/testosterone-supplementation-after-prostate-cancer-20090619180
Positive surgical margins following radical prostatectomy,"Today, about 10% to 20% of patients who have their prostate surgically removed are told that they have positive surgical margins, meaning some cancer cells may have been left behind. In this roundtable discussion, three Harvard physicians discuss positive surgical margins what patients with positive margins should consider next.",Cancer,"June 17, 2009",https://www.health.harvard.edu/blog/positive-surgical-margins-following-radical-prostatectomy-20090617171
Is health news helpful or just hype?,Knowing the basics of scientific research and statistics can help you understand what medical studies really say,Men's Health,"June 17, 2009",https://www.health.harvard.edu/blog/is-health-news-helpful-or-just-hype-20090617170
Can prostate cancer be prevented?, Dr.,Cancer,"June 17, 2009",https://www.health.harvard.edu/blog/can-prostate-cancer-be-prevented-20090617169
Prostate Health Information,"Welcome! This Web site combines prostate cancer news, expert commentary, relevant clinical findings, updates on important prostate cancer research, and personal case histories to help you fully understand the important considerations in the diagnosis and treatment of disorders of the prostate. We hope you find it useful.",Harvard Prostate Knowledge,"April 22, 2009",https://www.health.harvard.edu/blog/prostate-health-information-20090422166
Preserving penis length after radical prostatectomy, Researchers,Cancer,"April 8, 2009",https://www.health.harvard.edu/blog/preserving-penis-length-after-radical-prostatectomy-20090408165
Questioning hormone therapy as a primary cancer treatment for older men,"Given the possible side effects of hormone therapy, such as bone loss, fractures, diabetes, and heart trouble, clinicians might want to think twice before prescribing hormone therapy as the primary cancer treatment for older men with early-stage disease.",Cancer,"April 7, 2009",https://www.health.harvard.edu/blog/questioning-hormone-therapy-as-a-primary-cancer-treatment-for-older-men-20090407163
What is prostatic intraepithelial neoplasia (PIN)?,"No consensus exists about what type of medical follow-up is in order for this “precancerous” condition or whether to treat it. Marc B. Garnick, M.D., explains the condition and outlines your options. ",Cancer,"April 4, 2009",https://www.health.harvard.edu/blog/what-is-prostatic-intraepithelial-neoplasia-pin-2009040440
Busy surgeons have better results,Study shows that patients have fewer complications when prostate surgery is done at a high-volume hospital by a surgeon who performs the operation regularly.,Cancer,"April 3, 2009",https://www.health.harvard.edu/blog/busy-surgeons-have-better-results-20090403157
Experimental drug shows promise against prostate cancer,"An experimental drug may halt the production of male hormones in the body, making it a promising treatment for prostate cancer patients whose tumors have not responded to other therapies. Preliminary studies showed shrinking tumors and drops in PSA levels.",Cancer,"April 3, 2009",https://www.health.harvard.edu/blog/experimental-drug-shows-promise-against-prostate-cancer-20090403156
Onions and garlic may ease BPH symptoms,Study shows that men with BPH typically eat less garlic and fewer servings of onions per week than those without BPH.,Harvard Prostate Knowledge,"April 3, 2009",https://www.health.harvard.edu/blog/onions-and-garlic-may-ease-bph-symptoms-20090403155
No difference between drug and placebo in treating chronic prostatitis,"Many urologists prescribe alpha blockers to treat chronic prostatitis, but study shows that one such drug is ineffective in easing the condition. ",Men's Health,"April 3, 2009",https://www.health.harvard.edu/blog/no-difference-between-drug-and-placebo-in-treating-chronic-prostatitis-20090403152
Investigational vaccine aids patients with metastatic prostate cancer,"A new prostate cancer vaccine may give hope to men with metastatic prostate cancer by spurring their immune systems to fight the disease, according to a presentation by Iowa researchers at the American Urological Association’s annual meeting in May 2008. Enabling a patient’s immune system to attack cancer cells can improve quality of life and extend survival.",Cancer,"April 3, 2009",https://www.health.harvard.edu/blog/investigational-vaccine-aids-patients-with-metastatic-prostate-cancer-20090403151
Data show drug’s benefit in preventing prostate cancer,"Despite previous controversy, researchers report that finasteride may reduce overall disease risk and decrease rate of aggressive tumors.",Cancer,"April 3, 2009",https://www.health.harvard.edu/blog/new-data-show-drugs-benefit-in-preventing-prostate-cancer-20090403150
Can pathologists accurately and reliably diagnose PIN?, Study,Men's Health,"April 3, 2009",https://www.health.harvard.edu/blog/can-pathologists-accurately-and-reliably-diagnose-pin-20090403132
Blood test may indicate whether cancer has spread,Research shows that checking for a protein called endoglin might determine the extent of prostate cancer. ,Cancer,"April 3, 2009",https://www.health.harvard.edu/blog/blood-test-may-indicate-whether-cancer-has-spread-20090403148
Drug combo may fight prostate cancer,Research shows that combining the anti-inflammatory drug celecoxib (Celebrex) and the cholesterol-lowering statin drug atorvastatin (Lipitor) halted the progression of prostate tumors in mice. Investigators are now planning to test the combo in prostate cancer patients.,Cancer,"April 3, 2009",https://www.health.harvard.edu/blog/drug-combo-may-fight-prostate-cancer-20090403147
Drug may prevent the progression of high-grade PIN to prostate cancer, Study,Cancer,"April 3, 2009",https://www.health.harvard.edu/blog/drug-may-prevent-the-progression-of-high-grade-pin-to-prostate-cancer-20090403145
"Breast cancer genes pose threat to prostate health, too",Research shows that men who carry the BRCA1 and BRCA2 genes are at higher risk of developing prostate cancer than men without the genes.,Cancer,"April 3, 2009",https://www.health.harvard.edu/blog/breast-cancer-genes-pose-threat-to-prostate-health-too-20090403143
Gene combination raises prostate cancer risk,A Swedish study finds that the combination of five genetic variations increases the risk of developing prostate cancer. ,Cancer,"April 3, 2009",https://www.health.harvard.edu/blog/gene-combination-raises-prostate-cancer-risk-2-20090403142
Urine test accurately diagnoses prostate cancer,Researchers report that an experimental urine test can better distinguish between prostate cancer and benign conditions than both PSA and PCA3 testing.,Cancer,"April 3, 2009",https://www.health.harvard.edu/blog/urine-test-accurately-diagnoses-prostate-cancer-20090403140
Testosterone supplements of little benefit in older men,"Research has shown that testosterone levels decline as men age. In theory, taking testosterone supplements should counter that natural process. But a Dutch study concluded that they few benefits. ",Men's Health,"April 3, 2009",https://www.health.harvard.edu/blog/testosterone-supplements-of-little-benefit-in-older-men-20090403139
Testosterone seen unrelated to prostate cancer risk, A,Cancer,"April 3, 2009",https://www.health.harvard.edu/blog/testosterone-seen-unrelated-to-prostate-cancer-risk-20090403135
Focal therapy for prostate cancer?,"Two teams of researchers suggest that focal therapy may be a promising treatment option for men with cancer confined to the prostate. However, more research is needed to determine its long-term effectiveness.",Cancer,"April 3, 2009",https://www.health.harvard.edu/blog/focal-therapy-for-prostate-cancer-20090403134
Calcium and prostate cancer risk,"Physicians and researchers have long believed that consuming high amounts of calcium and dairy products increases the risk of prostate cancer, although study results have been inconsistent. Two recent studies make clear that the jury is still out.",Cancer,"April 3, 2009",https://www.health.harvard.edu/blog/calcium-and-prostate-cancer-risk-20090403133
"Obesity may affect PSA levels, delay cancer diagnosis","Obese men tend to have lower PSA concentrations than men with healthier weights. As a result, fewer obese men undergo biopsies, potentially leaving prostate cancer undetected.",Cancer,"April 3, 2009",https://www.health.harvard.edu/blog/obesity-may-affect-psa-levels-delay-cancer-diagnosis-20090403131
Hormone therapy for prostate cancer puts heart at risk,"A study by Boston researchers found that hormone therapy may increase risk of death from heart disease, especially among patients who have had prostate surgery. ",Cancer,"April 3, 2009",https://www.health.harvard.edu/blog/hormone-therapy-for-prostate-cancer-puts-heart-at-risk-20090403130
Lycopene and tomatoes: No shield against prostate cancer,"Studies reveal that lycopene, a nutrient found in tomatoes, does not seem to reduce prostate cancer risk. ",Cancer,"April 3, 2009",https://www.health.harvard.edu/blog/lycopene-and-tomatoes-no-shield-against-prostate-cancer-20090403129
Are BPH and LUTS “inexorable consequences of aging”?,"Historically, the answer has been yes, but mounting evidence suggests that lifestyle factors may influence risk.",Men's Health,"April 3, 2009",https://www.health.harvard.edu/blog/are-bph-and-luts-inexorable-consequences-of-aging-20090403128
How to tell when localized cancer is advancing,"A British study finds that repeat biopsies may play an important role in active surveillance for untreated, localized prostate cancer.",Cancer,"April 3, 2009",https://www.health.harvard.edu/blog/how-to-tell-when-localized-cancer-is-advancing-20090403127
Anxiety drives some treatment decisions,"Anxiety, not clinical symptoms and disease progression, may sway patients toward treatment. ",Cancer,"April 3, 2009",https://www.health.harvard.edu/blog/anxiety-drives-some-treatment-decisions-20090403126
Biomarker predicts the development of hormone refractory disease,Blood and tissue levels of chromogranin A (CgA) may be early indication that prostate cancer that won’t respond for long to hormone therapy.,Cancer,"April 3, 2009",https://www.health.harvard.edu/blog/biomarker-predicts-the-development-of-hormone-refractory-disease-20090403125
BPH drug cleared of causing aggressive tumors,Study finds that finasteride may actually lower the overall risk of prostate cancer and aid in the detection of aggressive tumors. An earlier study had implicated finasteride in the development of these deadlier tumors.,Cancer,"April 3, 2009",https://www.health.harvard.edu/blog/bph-drug-cleared-of-causing-aggressive-tumors-20090403124
Multivitamins and prostate cancer: A new worry?, A,Cancer,"April 3, 2009",https://www.health.harvard.edu/blog/multivitamins-and-prostate-cancer-a-new-worry-20090403123
Erectile dysfunction drug also may ease BPH symptoms,"More research is needed, but taking tadalafil (Cialis) could be helpful for men with BPH.",Men's Health,"April 3, 2009",https://www.health.harvard.edu/blog/erectile-dysfunction-drug-also-may-ease-bph-symptoms-20090403122
Common genetic variations increase prostate cancer risk,"Researchers have identified several genetic variations that raise prostate cancer risk, variations that may also account for the higher incidence of prostate cancer in African Americans.",Cancer,"April 3, 2009",https://www.health.harvard.edu/blog/common-genetic-variations-increase-prostate-cancer-risk-20090403120
Possible new blood test for prostate cancer,"Researchers at Johns Hopkins University School of Medicine have developed a new blood test for prostate cancer, which in a preliminary study proved better than the PSA test at identifying which men have cancer. The new test measures levels of the protein EPCA-2, which — unlike PSA — is produced almost exclusively by cancerous tissue.",Cancer,"April 3, 2009",https://www.health.harvard.edu/blog/possible-new-blood-test-for-prostate-cancer-20090403119
Do all BPH drugs reduce semen production?,"I have used finasteride (Proscar) to treat my BPH, and it has reduced the size of my prostate. However, my body’s production of semen has diminished, too. Will switching to dutasteride (Avodart) solve that problem?",Men's Health,"April 2, 2009",https://www.health.harvard.edu/blog/do-all-bph-drugs-reduce-semen-production-20090402113
Searching PubMed in five easy steps,"You can find and read the studies that are referenced on this Web site by searching PubMed, a resource of the National Library of Medicine. The abstracts (short summaries) of the studies are available for free, but in most cases you will have to pay to obtain the full report.",Harvard Prostate Knowledge,"April 2, 2009",https://www.health.harvard.edu/blog/searching-pubmed-in-five-easy-steps-20090402110
Is there a connection between Flomax and cataracts?,"In short, yes. If you take Flomax (tamsulosin), be sure to tell your eye doctor before having cataract surgery.",Men's Health,"April 2, 2009",https://www.health.harvard.edu/blog/is-there-a-connection-between-flomax-and-cataracts-20090402107
Harvard experts discuss surgical options for benign prostatic hyperplasia,"Three doctors describe some surgical options for treating an enlarged prostate, including the ones they think patients prefer.",Men's Health,"March 31, 2009",https://www.health.harvard.edu/blog/harvard-experts-discuss-surgical-options-for-benign-prostatic-hyperplasia-20090331103
Eating for prostate health: Part 2,,Men's Health,"March 31, 2009",https://www.health.harvard.edu/blog/eating-for-prostate-health-part-2-20090331102
Post-treatment monitoring,"PSA testing is not merely a prostate cancer screening tool. After treatment, PSA monitoring is the primary method of measuring treatment success and detecting early signs of cancer recurrence.",Cancer,"March 31, 2009",https://www.health.harvard.edu/blog/post-treatment-monitoring-20090331101
The guide to due diligence in early-stage prostate cancer,"In a business, due diligence means doing your homework, exploring all the options, and taking reasonable steps to protect yourself. When trying to make a decision about how to treat early-stage prostate cancer, taking time to conduct due diligence is absolutely vital for three reasons:",Cancer,"March 31, 2009",https://www.health.harvard.edu/blog/the-guide-to-due-diligence-in-early-stage-prostate-cancer-2009033199
Sex and the Prostate: Overcoming erectile dysfunction when you have prostate disease,,Men's Health,"April 21, 2021",https://www.health.harvard.edu/blog/sex-and-the-prostate-overcoming-erectile-dysfunction-when-you-have-prostate-disease-20090331100
Video: Prostate cancer screening not recommended in men over age 75,"An authoritative panel concludes that in older men, the PSA blood test causes more problems than benefits.",Harvard Prostate Knowledge,"March 30, 2009",https://www.health.harvard.edu/blog/video-prostate-cancer-screening-not-recommended-in-men-over-age-75-2009033098
Video: Disappointing results for Vitamin E and selenium supplements,"A randomized trial of over 35,000 men shows that vitamin E and selenium supplements fail to reduce the risk of prostate cancer. In this video, Dr. Anthony Komaroff discusses the findings.",Harvard Prostate Knowledge,"March 30, 2009",https://www.health.harvard.edu/blog/video-disappointing-results-for-vitamin-e-and-selenium-supplements-2009033097
Understanding PSA – I_D_2_b_1_b,"Your PSA level is moderately elevated and increasing at a worrisome rate. Follow-up is needed. However, keep in mind that your risk of prostate cancer still less than 40 percent.",Harvard Prostate Knowledge,"March 30, 2009",https://www.health.harvard.edu/blog/understanding-psa-i-d-2-b-1-b-2009033096
Understanding PSA – I_D_2_b_1_a,This may be a normal fluctuation in your PSA level. An increase in your PSA of less than 0.75 ng/ml over one year is generally felt to be reassuring. Repeat testing in 3-6 months is a reasonable option. Discuss this with your doctor.,Harvard Prostate Knowledge,"March 30, 2009",https://www.health.harvard.edu/blog/understanding-psa-i-d-2-b-1-a-2009033095
Understanding PSA – I_D_2_b_1,,Harvard Prostate Knowledge,"March 30, 2009",https://www.health.harvard.edu/blog/understanding-psa-i-d-2-b-1-2009033094
Understanding PSA – I_D_2_b_2,"Knowing your previous PSA levels is helpful, but not necessary. Nonetheless, your PSA level is mildly elevated. Follow-up is needed. Keep in mind that your risk of prostate cancer is still less than 40 percent.",Harvard Prostate Knowledge,"March 30, 2009",https://www.health.harvard.edu/blog/understanding-psa-i-d-2-b-2-2009033093
Understanding PSA – I_D_2_b,"The next thing to determine is how fast your PSA levels has been rising. You can figure this out if your PSA was checked within the past year or so. You should subtract your last PSA result from your current results. For example, if your PSA was 4.5 last year and is 5.0 this year, it has increased by 0.5 points (ng/ml) over the past year. A quickly rising PSA is worrisome, while a slowly rising PSA (or PSA level that goes down) is reassuring.",Harvard Prostate Knowledge,"March 30, 2009",https://www.health.harvard.edu/blog/understanding-psa-i-d-2-b-2009033092
Understanding PSA – I_D_2_a,"Ejaculation or vigorous bicycle riding can cause a small increase in your PSA level. Consider repeating your PSA test in two weeks, after you’ve avoided bicycle riding and intercourse for at least 48 hours. If your repeat PSA level returns to normal (less than four), this is excellent news. If your PSA test remains elevated, further evaluation is probably needed. Your options include:",Harvard Prostate Knowledge,"March 30, 2009",https://www.health.harvard.edu/blog/understanding-psa-i-d-2-a-2009033091
Understanding PSA – I_D_2,"PSA levels can also go up for other reasons. For example, riding a bicycle can put pressure on the prostate and cause a temporary spike in your PSA level. The same is true for ejaculation during sex or masturbation. In general, these activities cause PSA levels to rise only a little, and the PSA should return to normal within several days.",Harvard Prostate Knowledge,"March 30, 2009",https://www.health.harvard.edu/blog/understanding-psa-i-d-2-2009033090
Understanding PSA – I_D_1,"Your PSA level may be falsely elevated. This means that although your PSA level is above normal, there is a good chance that you do not have prostate cancer.",Harvard Prostate Knowledge,"March 30, 2009",https://www.health.harvard.edu/blog/understanding-psa-i-d-1-2009033089
Understanding PSA – I_D,"Your PSA level is moderately elevated. About one in three men with a moderately elevated PSA level will be found to have early stage prostate cancer if a biopsy is performed. Early stage prostate cancer rarely causes symptoms, and your prostate may feel totally normal when examined by your doctor (digital rectal exam). One piece of good news is that early stage prostate cancer can often be cured.",Harvard Prostate Knowledge,"March 30, 2009",https://www.health.harvard.edu/blog/understanding-psa-i-d-2009033088
Understanding PSA – I_E_2,Contact your doctor. Your PSA level is high. Your risk of prostate cancer is greater than 50 percent. Immediate follow-up is warranted. Speak to your doctor about referral to a urologist (prostate specialist) or arranging for a prostate biopsy.,Harvard Prostate Knowledge,"March 30, 2009",https://www.health.harvard.edu/blog/understanding-psa-i-e-2-2009033087
Understanding PSA – I_E,Your PSA level is moderately elevated. More than half of men whose PSA level is ten or above will be found to have prostate cancer if a biopsy is performed.,Harvard Prostate Knowledge,"March 30, 2009",https://www.health.harvard.edu/blog/understanding-psa-i-e-2009033085
Understanding PSA – I_C,"Your PSA level is below 4.0 ng/ml. This is generally a reassuring result, and your risk of having prostate cancer is low.",Harvard Prostate Knowledge,"March 30, 2009",https://www.health.harvard.edu/blog/understanding-psa-i-c-2009033084
Understanding PSA – I_B,Your PSA level is in the normal range. This is a reassuring result. You have a low risk of being diagnosed with prostate cancer within the next few years.,Harvard Prostate Knowledge,"March 30, 2009",https://www.health.harvard.edu/blog/understanding-psa-i-b-2009033083
Understanding PSA – I_A,Your PSA level is very low. This is a reassuring result. You have a very low risk of being diagnosed with prostate cancer within the next few years.,Harvard Prostate Knowledge,"March 30, 2009",https://www.health.harvard.edu/blog/understanding-psa-i-a-2009033082
Understanding PSA – II_A,Your PSA level is in the normal range. This is a reassuring result.,Harvard Prostate Knowledge,"March 30, 2009",https://www.health.harvard.edu/blog/understanding-psa-ii-a-2009033081
Understanding PSA – III_A,"Your PSA level is above four ng/ml. In younger men, this is usually considered to be a worrisome level. However, your PSA level may be normal for someone in your age group.",Harvard Prostate Knowledge,"March 30, 2009",https://www.health.harvard.edu/blog/understanding-psa-iii-a-2009033079
Understanding PSA – IV_B,Your PSA level is in the normal range. This is a reassuring result.,Harvard Prostate Knowledge,"March 30, 2009",https://www.health.harvard.edu/blog/understanding-psa-iv-b-2009033078
Understanding PSA – IV_A,"Your PSA level is above the normal range. However, given your age or medical history, further evaluation may or may not be worthwhile. Speak with your doctor about appropriate follow-up.",Harvard Prostate Knowledge,"March 30, 2009",https://www.health.harvard.edu/blog/understanding-psa-iv-a-2009033077
Understanding PSA – III,"Next, we need to know your most recent PSA test result. Usually this is a number between 1.0 and 10.0 (PSA is measured in nanograms per milliliter, or ng/ml).",Harvard Prostate Knowledge,"March 30, 2009",https://www.health.harvard.edu/blog/understanding-psa-iii-2009033075
Understanding PSA – I,"Most doctors recommend waiting until age 50 to start PSA testing. That’s because prostate cancer is uncommon before this age. However, PSA levels are sometimes checked in men younger than age 50 because they have a risk factor for prostate cancer, such as having a close family member with the disease or being African-American (African American men are more likely than other men to develop prostate cancer and can develop an aggressive form of the disease at a young age).",Harvard Prostate Knowledge,"March 30, 2009",https://www.health.harvard.edu/blog/understanding-psa-i-2009033073
Understanding PSA – Introduction,Welcome to this Decision Guide about PSA testing.,Harvard Prostate Knowledge,"March 30, 2009",https://www.health.harvard.edu/blog/understanding-psa-introduction-2009033072
What is magnetic resonance imaging (MRI)?,"This imaging technique, which uses a powerful magnet and a computer to generate pictures of the body’s organs and tissues, can be used to diagnose prostate cancer or pinpoint the tumor’s location.",Harvard Prostate Knowledge,"March 27, 2009",https://www.health.harvard.edu/blog/what-is-magnetic-resonance-imaging-mri-2009032769
What is transrectal ultrasonography (TRUS)?,Transrectal ultrasonography (TRUS) can create images of the prostate gland using sound waves. Doctors may recommend TRUS when they suspect prostate cancer based on an abnormal DRE or an elevated PSA. ,Harvard Prostate Knowledge,"March 27, 2009",https://www.health.harvard.edu/blog/what-is-transrectal-ultrasonography-trus-2009032768
